OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
OSCAR 7 (AO-7),1974-089B,2025-06-25T23:55:39.764064,12.53689788,.0012655,101.9928,181.4358,90.8358,296.7715,0,U,7530,999,31612,.40065E-4,-.4E-6,0
PHASE 3B (AO-10),1983-058B,2025-06-25T09:42:32.859936,2.05869459,.6064134,26.6374,279.8308,16.5340,356.6382,0,U,14129,999,28814,0,-.99E-6,0
UOSAT 2 (UO-11),1984-021B,2025-06-25T20:37:08.463936,14.89427177,.0006336,97.7550,142.9066,286.7234,73.3287,0,U,14781,999,20406,.1002E-3,.898E-5,0
LUSAT (LO-19),1990-005G,2025-06-25T13:47:50.003520,14.33959828,.0011828,98.8976,183.2419,166.3903,193.7601,0,U,20442,999,85134,.4458E-4,.78E-6,0
EYESAT A (AO-27),1993-061C,2025-06-25T10:36:02.288160,14.30804042,.0009452,98.7360,238.0760,69.9117,290.3082,0,U,22825,999,65598,.45234E-4,.74E-6,0
ITAMSAT (IO-26),1993-061D,2025-06-25T10:56:32.330400,14.31217691,.0009806,98.7307,237.9749,55.5852,304.6257,0,U,22826,999,65628,.48807E-4,.84E-6,0
RADIO ROSTO (RS-15),1994-085A,2025-06-25T22:33:57.507552,11.27581490,.0145769,64.8133,159.3488,71.1472,290.5196,0,U,23439,999,25573,-.1761E-3,-.49E-6,0
JAS-2 (FO-29),1996-046B,2025-06-25T10:13:30.314784,13.53249730,.0348984,98.5741,68.2321,301.6612,55.0927,0,U,24278,999,42491,.42675E-4,.3E-7,0
TECHSAT 1B (GO-32),1998-043D,2025-06-25T22:03:45.303840,14.24318573,.0001904,98.9709,156.3799,129.3103,230.8244,0,U,25397,999,40061,.31882E-4,.27E-6,0
ISS (ZARYA),1998-067A,2025-06-26T05:22:24.632544,15.50247662,.0002177,51.6358,262.2903,292.8641,67.2118,0,U,25544,999,51656,.14796E-3,.8071E-4,0
PCSAT (NO-44),2001-043C,2025-06-25T03:41:31.125408,14.31741308,.0006131,67.0511,87.5737,276.6412,83.3992,0,U,26931,999,23933,.60743E-4,.79E-6,0
SAUDISAT 1C (SO-50),2002-058C,2025-06-25T08:19:22.939392,14.81661591,.0058173,64.5516,151.8651,330.5671,29.2161,0,U,27607,999,21156,.13452E-3,.94E-5,0
CUTE-1 (CO-55),2003-031E,2025-06-25T11:44:34.454688,14.24006968,.0010464,98.6753,184.5572,135.9188,224.2826,0,U,27844,999,14093,.10842E-3,.205E-5,0
CUBESAT XI-IV (CO-57),2003-031J,2025-06-24T22:52:23.728224,14.23339890,.000998,98.6783,184.0221,153.5945,206.5744,0,U,27848,999,14055,.10087E-3,.185E-5,0
MOZHAYETS 4 (RS-22),2003-042A,2025-06-26T02:49:20.462016,14.72386639,.0010564,98.3291,346.9695,322.8821,105.4040,0,U,27939,999,16326,.11517E-3,.676E-5,0
CUBESAT XI-V,2005-043F,2025-06-25T20:13:51.521088,14.71057731,.0013282,98.2516,321.3981,253.6203,106.3543,0,U,28895,999,4933,.16895E-3,.987E-5,0
CUTE-1.7+APD II (CO-65),2008-021C,2025-06-25T23:11:33.483264,15.04557478,.0010756,97.7856,148.2534,147.1549,213.0347,0,U,32785,999,93161,.18739E-3,.2567E-4,0
SEEDS II (CO-66),2008-021J,2025-06-25T09:11:40.109568,15.19012491,.0005781,97.7274,156.7800,107.7010,252.4855,0,U,32791,999,93289,.32718E-3,.6781E-4,0
YUBILEINY (RS-30),2008-025A,2025-06-26T01:28:03.712512,12.43165675,.0019365,82.5017,216.9287,13.9562,346.2049,0,U,32953,999,77558,.24442E-3,.44E-6,0
KKS-1 (KISEKI),2009-002H,2025-06-26T00:02:19.188672,14.81665741,.0008457,98.1196,89.2908,14.0867,346.0579,0,U,33499,999,88385,.12594E-3,.936E-5,0
SWISSCUBE,2009-051B,2025-06-25T10:43:49.171296,14.61368694,.0005668,98.4289,72.9787,238.0336,122.0314,0,U,35932,999,83703,.14983E-3,.692E-5,0
BEESAT-1,2009-051C,2025-06-25T18:29:17.735424,14.60778328,.0004046,98.4220,73.6333,252.5798,107.4960,0,U,35933,999,83713,.12529E-3,.563E-5,0
ITUPSAT1,2009-051E,2025-06-25T04:24:22.854240,14.59573343,.0006257,98.4315,72.5645,266.4592,93.5891,0,U,35935,999,83667,.12402E-3,.541E-5,0
XIWANG-1 (HOPE-1),2009-072B,2025-06-26T02:38:40.115328,13.16425573,.0007215,100.3496,132.5387,332.6485,27.4248,0,U,36122,999,74625,-.16441E-4,-.5E-6,0
O/OREOS (USA 219),2010-062C,2025-06-25T09:26:43.673856,14.91523384,.0014026,71.9690,167.1745,18.4622,341.7053,0,U,37224,999,6340,.15578E-3,.1501E-4,0
JUGNU,2011-058B,2025-06-25T10:06:39.583008,14.13608206,.0018718,19.9617,315.6321,96.2103,299.7130,0,U,37839,999,70848,.69105E-4,.399E-5,0
SRMSAT,2011-058D,2025-06-26T00:15:54.576576,14.11440481,.0011734,19.9732,55.1134,245.3508,241.3747,0,U,37841,999,70765,.50999E-4,.359E-5,0
STRAND-1,2013-009E,2025-06-25T23:17:46.157568,14.36828866,.0008066,98.3827,1.2362,208.5380,151.5366,0,U,39090,999,64592,.83214E-4,.203E-5,0
ZACUBE-1 (TSHEPISOSAT),2013-066B,2025-06-25T10:20:06.809568,14.96785083,.0044001,97.7811,133.3604,1.9078,358.2304,0,U,39417,999,62728,.35467E-3,.4078E-4,0
GOMX-1,2013-066Q,2025-06-26T01:16:31.771200,14.67691606,.0133294,97.6820,34.7056,139.2179,221.9097,0,U,39430,999,61782,.22074E-3,.1386E-4,0
CUBEBUG-2 (LO-74),2013-066AA,2025-06-25T14:14:59.212896,14.90016019,.0063235,97.8501,121.0441,126.3063,234.4017,0,U,39440,999,62502,.24963E-3,.2441E-4,0
FUNCUBE-1 (AO-73),2013-066AE,2025-06-25T19:08:06.149760,15.02518754,.0041417,97.7810,138.7765,334.0798,25.8351,0,U,39444,999,62602,.31391E-3,.4183E-4,0
UWE-3,2013-066AG,2025-06-25T14:55:50.224512,14.93005714,.0054775,97.8249,127.4571,66.6290,294.0678,0,U,39446,999,62430,.28252E-3,.2964E-4,0
UNISAT-6,2014-033C,2025-06-25T20:25:21.504576,14.85303604,.0048319,97.7436,332.5901,159.8764,200.4371,0,U,40012,999,59321,.2903E-3,.2492E-4,0
DUCHIFAT-1,2014-033M,2025-06-26T00:26:24.978624,15.29131671,.0006812,98.0934,192.7907,252.4654,107.5840,0,U,40021,999,60083,.52339E-3,.14737E-3,0
QB50P1,2014-033R,2025-06-25T16:55:02.744832,15.10694176,.0010436,98.0826,160.1958,10.5845,349.5600,0,U,40025,999,59907,.33862E-3,.5543E-4,0
LILACSAT-2,2015-049K,2025-06-26T04:31:33.620448,15.39234194,.0011098,97.5042,197.9383,100.8008,259.4487,0,U,40908,999,54078,.23198E-3,.8959E-4,0
LAPAN-A2 (IO-86),2015-052B,2025-05-31T04:27:33.271200,14.78805930,.0012733,6.0006,24.0987,338.8432,21.1169,0,U,40931,999,52304,.78118E-4,.1241E-4,0
FOX-1A (AO-85),2015-058D,2025-06-26T01:33:08.359776,14.88144761,.0158696,64.7771,303.4107,190.1439,169.6460,0,U,40967,999,6052,.31607E-3,.351E-4,0
